"genre","year","budget","gross","number","score","runtime"
"Fantasy",1989,8750000,39819248.5,2,5.85,96
"Fantasy",1990,6500000,2032973,1,4.8,93
"Fantasy",1991,1.1e+07,34872033,1,4.9,89
"Fantasy",1992,11500000,23808608,2,5.1,95.5
"Fantasy",1993,2e+06,621392,1,6.7,94
"Fantasy",1994,8e+06,19721741,1,6.5,112
"Fantasy",1995,16500000,6991360,2,6.4,109
"Fantasy",1996,8500000,15315484,1,5.8,93
"Fantasy",1997,3e+06,7932083,2,5.9,92
"Fantasy",1998,2.7e+07,27200316,1,7.6,100
"Fantasy",1999,9e+07,191691326.5,2,6.15,109
"Fantasy",2001,5.5e+07,135928150.5,2,6.25,113.5
"Fantasy",2003,1.1e+07,47488536,1,5,86
"Fantasy",2006,7e+06,27298695,1,5.1,85
"Fantasy",2007,13500000,69252179,2,6.2,99.5
"Fantasy",2008,1500000,32118,1,6.6,93
"Fantasy",2010,2.5e+07,38269529,1,5.6,99
"Fantasy",2011,4.2e+07,90260376,1,5.5,100
"Fantasy",2013,1.5e+07,146428180,1,6.2,100
"Fantasy",2018,2e+07,7942093,1,6.7,152
"Fantasy",2019,5500000,10754821,2,6.2,94
"Horror",1980,775000,30601691.5,2,6.6,92
"Horror",1981,3422222.22222222,12090971.4444444,9,6.33333333333333,94.3333333333333
"Horror",1982,4628125,21629861.5,8,5.95,97.625
"Horror",1983,5862750,11518580.625,8,5.9625,97
"Horror",1984,2919166.66666667,13829387,6,6.08333333333333,88.6666666666667
"Horror",1985,3925000,17322874.25,4,5.95,93.75
"Horror",1986,7583333.33333333,14488586.8333333,6,5.98333333333333,91.5
"Horror",1987,6750000,10550055.75,4,6.525,99.75
"Horror",1988,7912500,16324914.75,8,5.7,91.25
"Horror",1989,4580000,4560456.2,5,5.62,94
"Horror",1990,6783333.33333333,10154146.3333333,6,5.81666666666667,92.5
"Horror",1991,11500000,14874202.5,2,5.35,89
"Horror",1992,12380000,58655070.4,5,5.84,104.8
"Horror",1993,10212500,4470229,4,5.05,96.75
"Horror",1995,1.3e+07,11496299.8,5,5.66,99.4
"Horror",1996,16250000,58267898,4,5.675,93
"Horror",1997,34200000,76812135,5,6.08,106.4
"Horror",1998,26728571.4285714,37607662.8571429,7,5.41428571428571,94.7142857142857
"Horror",1999,13718333.3333333,65000564.6666667,6,5.85,95.8333333333333
"Horror",2000,41750000,82029253.25,4,5.375,100.25
"Horror",2001,18250000,64411998.5,6,5.95,98.8333333333333
"Horror",2002,16100000,70593946.3333333,6,5.71666666666667,95.5
"Horror",2003,23433333.3333333,58779340.8333333,6,5.83333333333333,94.5
"Horror",2004,30400000,123100935,3,6.2,102.666666666667
"Horror",2005,17644444.4444444,79453221.1111111,9,5.8,99.8888888888889
"Horror",2006,22050000,58402284.8,10,5.32,98.5
"Horror",2007,15481500,59091084.1,10,6.23,96.9
"Horror",2008,15937500,44643556,8,5.4875,92.875
"Horror",2009,13833333.3333333,47420227.75,12,5.93333333333333,98.3333333333333
"Horror",2010,9162500,61056820.25,8,5.8625,96.125
"Horror",2011,23166666.6666667,48861311.3333333,6,5.85,96.6666666666667
"Horror",2012,5890000,47741769.4,10,5.4,89.9
"Horror",2013,10500000,112677218,7,6.27142857142857,98.1428571428571
"Horror",2014,2885714.28571429,72887330.8571429,7,5.6,94.5714285714286
"Horror",2015,9771428.57142857,63613087.2857143,7,5.57142857142857,91.4285714285714
"Horror",2016,11375000,97819537.5,8,6,102.875
"Horror",2017,35750000,270845066.333333,6,6.78333333333333,110.833333333333
"Horror",2018,7855555.55555556,87811479.4444444,9,5.31111111111111,96.1111111111111
"Horror",2019,1.7e+07,156758976,5,5.86,103
"Mystery",1990,2.2e+07,221303188,1,6.9,127
"Mystery",1991,7450000,9459301,2,5.8,107.5
"Mystery",1992,2.4e+07,608866,1,5,90
"Mystery",1994,4e+07,19726050,1,5.2,121
"Mystery",1995,29000001,168839459,1,8,129
"Mystery",1996,2.5e+07,14063331,1,6.2,115
"Mystery",1997,1.5e+07,3703548,1,7.6,134
"Mystery",1999,2.7e+07,38482993,2,6.9,116.5
"Mystery",2000,9e+06,40047078,1,8.4,113
"Mystery",2003,2e+07,56993164.5,2,6.3,104.5
"Mystery",2006,1.25e+08,760006945,1,6.6,149
"Mystery",2010,8e+07,294805697,1,8.2,138
"Mystery",2011,5e+07,260095986,1,7,112
"Mystery",2014,1.4e+07,11020402,1,6.3,108
